,0,1,2,3,4,5,6,7,8,9
0,10.0,10.0,8.5,8.5,10.0,10.0,6.0,6.0,0.0,0.0
1,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
2,9.0,9.0,9.0,9.0,0.0,0.0,8.0,8.0,8.0,6.0
3,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
4,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,7.0
5,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
6,10.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,7.0,10.0
8,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
9,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
10,8.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0
11,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.5
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,0.0
15,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
16,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
17,10.0,10.0,9.5,9.5,10.0,10.0,9.5,9.5,10.0,10.0
18,10.0,10.0,8.0,8.0,10.0,10.0,0.0,0.0,0.0,0.0
19,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
21,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
22,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
23,9.0,9.0,8.0,8.0,10.0,10.0,6.0,6.0,10.0,0.0
24,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
25,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,8.0,7.0
26,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
27,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,10.0,10.0
28,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
29,10.0,10.0,8.5,8.5,10.0,10.0,9.0,9.0,10.0,10.0
30,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
31,9.0,9.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,8.5
32,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0
