,0,1,2,3,4,5,6,7,8,9
0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0
1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
2,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0
3,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
4,10.0,0.0,10.0,10.0,9.0,10.0,0.0,9.0,10.0,9.0
5,7.0,9.0,10.0,10.0,8.0,8.0,8.0,10.0,9.0,8.0
6,10.0,9.0,9.0,7.0,10.0,10.0,9.0,8.0,8.0,10.0
7,10.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
8,10.0,8.0,10.0,8.0,10.0,9.0,8.0,10.0,8.0,10.0
9,8.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,8.0
10,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0
11,9.0,8.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0
12,9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0
13,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0
14,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0
15,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0
16,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0
17,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0
18,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0
19,9.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0
20,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0
21,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0
22,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0
23,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0
24,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
25,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0
26,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
27,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
28,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
29,10.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0
30,9.0,7.0,10.0,10.0,9.0,10.0,7.0,10.0,9.0,9.0
31,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
32,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0
33,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0
34,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
35,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0
36,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0
37,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0
38,9.0,0.0,9.0,10.0,10.0,10.0,0.0,9.0,10.0,9.0
39,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
40,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0
41,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0
42,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0
43,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0
44,10.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0
45,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
46,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0
47,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0
48,10.0,9.0,9.0,-1.0,10.0,9.0,8.0,8.0,0.0,10.0
49,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
50,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
51,6.0,10.0,10.0,10.0,5.0,5.0,10.0,9.0,10.0,6.0
52,9.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0
53,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0
54,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0
55,9.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0,10.0,8.0
56,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0
57,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0
58,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0
59,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0
60,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0
61,9.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0
62,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0
63,9.0,4.0,10.0,9.0,10.0,10.0,5.0,10.0,10.0,9.0
64,8.0,8.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0
65,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0
66,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0
67,9.0,8.0,8.0,10.0,10.0,10.0,9.0,7.0,10.0,9.0
68,10.0,8.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0
69,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
70,10.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0
71,10.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0
72,10.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0
73,9.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0
74,10.0,8.0,7.0,10.0,10.0,9.0,8.0,7.0,10.0,10.0
75,10.0,-1.0,0.0,0.0,10.0,9.0,-1.0,-1.0,0.0,10.0
76,8.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0
77,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0
78,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0
79,9.0,7.0,8.0,10.0,9.0,9.0,6.0,8.0,10.0,9.0
80,10.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0
81,10.0,8.0,7.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0
82,8.0,7.0,7.0,10.0,8.0,8.0,7.0,6.0,10.0,8.0
83,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0
84,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
85,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0
86,10.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0
87,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0
88,10.0,3.0,10.0,10.0,10.0,9.0,3.0,10.0,9.0,10.0
89,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
90,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
91,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0
92,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0
93,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0
94,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0
95,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0
96,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0
97,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
98,9.0,10.0,8.0,10.0,9.0,10.0,10.0,8.0,9.0,10.0
99,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
100,9.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0
101,10.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0
102,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0
103,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0
104,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0
105,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0
106,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
107,5.0,9.0,10.0,10.0,5.0,6.0,9.0,10.0,10.0,6.0
